City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,hobyo,5.3505,48.5268,29.939999999999998,58,37,8.05,SO,1675316019
205,ambilobe,-13.2,49.05,29.976,83,99,0.74,MG,1675316281
206,severo-kurilsk,50.6789,156.125,26.939,73,72,7.85,RU,1675316281
207,parrita,9.5201,-84.3225,29.62,65,19,2.17,CR,1675316282
208,katangli,51.7102,143.2326,25.244,89,80,4.46,RU,1675316282
209,sistranda,63.7256,8.834,27.413,58,99,6.63,NO,1675316283
210,taoudenni,22.6783,-3.9836,28.489,23,82,5.54,ML,1675316283
211,dolinsk,47.35,142.8,26.076999999999998,86,100,3.09,RU,1675316284
212,tilichiki,60.4667,166.1,25.763,98,99,2.72,RU,1675316285
213,marsala,37.7966,12.4352,28.367000000000004,87,75,1.03,IT,1675316285
214,lima,-12.0432,-77.0282,29.808999999999997,77,100,6.17,PE,1675316100
215,abdulino,53.7,53.6667,25.980000000000004,91,92,2.28,RU,1675316286
216,brigantine,39.4101,-74.3646,27.314999999999998,71,0,2.06,US,1675316090
217,novo aripuana,-5.1206,-60.3797,29.506,97,59,1.08,BR,1675316286
218,flin flon,54.7682,-101.865,24.497,89,100,4.89,CA,1675316286
219,norman wells,65.282,-126.8329,23.317,67,20,0.0,CA,1675316287
220,nome,64.5011,-165.4064,26.619,100,100,3.6,US,1675316287
221,gat,31.61,34.7642,28.352999999999998,100,96,6.64,IL,1675316287
222,port hedland,-20.3167,118.5667,30.505000000000003,60,2,5.32,AU,1675316288
223,sao lourenco do oeste,-26.3592,-52.8511,29.189999999999998,90,76,1.22,BR,1675316288
224,vilhena,-12.7406,-60.1458,29.281000000000002,97,96,1.19,BR,1675316289
225,naze,28.3667,129.4833,28.966000000000005,72,96,6.06,JP,1675316289
226,biak,-0.9131,122.8766,30.235000000000003,62,95,3.67,ID,1675316289
227,half moon bay,37.4636,-122.4286,28.371,65,0,1.54,US,1675316029
228,labatlan,47.7473,18.4962,27.566000000000003,88,98,5.74,HU,1675316290
229,upernavik,72.7868,-56.1549,24.644000000000002,87,90,2.16,GL,1675316290
230,jacareacanga,-6.2222,-57.7528,29.518,99,100,0.76,BR,1675316291
231,qasigiannguit,68.8193,-51.1922,26.229000000000003,79,55,1.66,GL,1675316291
232,nokaneng,-19.6667,22.2667,29.569000000000003,74,82,2.15,BW,1675316291
233,maniitsoq,65.4167,-52.9,25.666000000000004,79,20,4.42,GL,1675316291
234,tornio,65.8481,24.1466,26.816000000000003,90,100,4.83,FI,1675316292
235,suntar,62.1444,117.6319,25.379,93,100,2.72,RU,1675316292
236,kaputa,-8.4689,29.6619,29.413,81,8,0.73,ZM,1675316293
237,caborca,30.5838,-111.101,28.238,72,9,1.31,MX,1675316293
238,tibu,8.639,-72.7358,29.448000000000004,72,35,1.09,CO,1675316293
239,northam,51.0333,-4.2167,28.238,94,58,7.36,GB,1675316293
240,tommot,58.9564,126.2925,25.599000000000004,93,100,4.59,RU,1675316294
241,tanout,14.9709,8.8879,28.906000000000002,17,58,6.21,NE,1675316294
242,luderitz,-26.6481,15.1594,29.174000000000003,69,23,7.58,NA,1675316295
243,east london,-33.0153,27.9116,29.567000000000004,73,0,3.09,ZA,1675316295
244,guanica,17.9716,-66.908,29.659,81,2,2.19,PR,1675316050
245,pafos,34.7667,32.4167,28.272000000000006,57,20,3.09,CY,1675316164
246,santa cruz del sur,20.7147,-77.9956,29.534,83,6,5.61,CU,1675316296
247,tyukhtet,56.5389,89.3011,26.152,88,55,1.06,RU,1675316296
248,tubuala,9.5167,-79.0333,29.861000000000004,81,73,8.65,PA,1675316297
249,tuam,53.5167,-8.85,28.216000000000005,85,99,8.12,IE,1675316297
250,torbay,47.6666,-52.7314,26.274,82,40,0.0,CA,1675316146
251,hervey bay,-25.2986,152.8535,30.119,76,49,2.15,AU,1675316297
252,belaya gora,68.5333,146.4167,24.561000000000003,100,96,1.32,RU,1675316298
253,kosh-agach,50.0,88.6667,25.662000000000003,79,16,0.76,RU,1675316298
254,necochea,-38.5473,-58.7368,29.131,81,93,2.78,AR,1675316298
255,clyde river,70.4692,-68.5914,23.828000000000003,68,0,6.69,CA,1675316299
256,vanimo,-2.6741,141.3028,30.255000000000003,65,65,2.58,PG,1675316299
257,katherine,-14.4667,132.2667,30.633,55,75,6.69,AU,1675316299
258,ribeira grande,38.5167,-28.7,28.580000000000002,80,15,1.34,PT,1675316300
259,pa daet,19.5049,99.9924,30.436000000000003,22,1,0.97,TH,1675316300
260,mount gambier,-37.8333,140.7667,28.866000000000003,53,72,8.12,AU,1675316300
261,san cristobal,7.7669,-72.225,29.125,85,15,0.91,VE,1675316301
262,altay,47.8667,88.1167,26.867000000000004,69,11,0.34,CN,1675316301
263,guiyang,26.5833,106.7167,27.942000000000004,100,100,4.0,CN,1675316301
264,lanivtsi,49.8633,26.0908,27.301000000000002,96,100,3.95,UA,1675316301
265,mindelo,16.8901,-24.9804,29.39,64,75,9.26,CV,1675316302
266,koungheul,13.9833,-14.8,29.349000000000004,12,6,3.39,SN,1675316302
267,manaus,-3.1019,-60.025,29.942000000000004,83,0,3.6,BR,1675316228
268,presidente epitacio,-21.7633,-52.1156,29.610000000000003,92,99,1.3,BR,1675316303
269,yar-sale,66.8333,70.8333,25.807000000000002,96,83,4.22,RU,1675316303
270,talcahuano,-36.7167,-73.1167,28.597000000000005,71,0,4.63,CL,1675316303
271,ostrovnoy,68.0531,39.5131,26.474000000000004,91,49,9.68,RU,1675316304
272,umm kaddadah,13.6017,26.6876,28.951999999999998,24,4,9.01,SD,1675316304
273,dudinka,69.4058,86.1778,26.072000000000003,95,100,5.49,RU,1675316304
274,narsaq,60.9167,-46.05,26.527,88,97,1.57,GL,1675316305
275,bang saphan,11.2126,99.5117,30.439,43,55,3.34,TH,1675316305
276,zuwarah,32.9312,12.082,28.365,67,28,2.02,LY,1675316306
277,fortuna,40.5982,-124.1573,28.144000000000002,71,0,3.6,US,1675316306
278,hovd,48.0056,91.6419,25.982,69,84,1.53,MN,1675316030
279,fort saint james,54.4333,-124.25,26.323000000000004,96,100,1.04,CA,1675316307
280,bonavista,48.6499,-53.1147,26.412000000000003,66,62,4.63,CA,1675316307
281,traverse city,44.7631,-85.6206,27.026,74,100,2.06,US,1675316307
282,chany,55.3121,76.7647,25.779000000000003,86,5,0.76,RU,1675316308
283,strelka,58.0728,93.0344,25.830000000000002,94,99,1.27,RU,1675316308
